month,payment_type,avg_installments
2016-09,credit_card,2.00
2016-10,credit_card,4.41
2016-10,voucher,1.00
2016-10,debit_card,1.00
2016-10,boleto,1.00
2016-12,credit_card,1.00
2017-01,credit_card,3.80
2017-01,voucher,1.00
2017-01,boleto,1.00
2017-01,debit_card,1.00
2017-02,credit_card,3.43
2017-02,debit_card,1.00
2017-02,voucher,1.00
2017-02,boleto,1.00
2017-03,credit_card,3.66
2017-03,boleto,1.00
2017-03,debit_card,1.00
2017-03,voucher,1.00
2017-04,credit_card,3.84
2017-04,voucher,1.00
2017-04,boleto,1.00
2017-04,debit_card,1.00
2017-05,credit_card,4.09
2017-05,boleto,1.00
2017-05,debit_card,1.00
2017-05,voucher,1.00
2017-06,credit_card,3.99
2017-06,boleto,1.00
2017-06,debit_card,1.00
2017-06,voucher,1.00
2017-07,credit_card,3.97
2017-07,debit_card,1.00
2017-07,boleto,1.00
2017-07,voucher,1.00
2017-08,credit_card,3.85
2017-08,debit_card,1.00
2017-08,voucher,1.00
2017-08,boleto,1.00
2017-09,credit_card,3.72
2017-09,boleto,1.00
2017-09,debit_card,1.00
2017-09,voucher,1.00
2017-10,credit_card,3.56
2017-10,voucher,1.00
2017-10,boleto,1.00
2017-10,debit_card,1.00
2017-11,credit_card,3.69
2017-11,debit_card,1.00
2017-11,voucher,1.00
2017-11,boleto,1.00
2017-12,credit_card,3.52
2017-12,boleto,1.00
2017-12,debit_card,1.00
2017-12,voucher,1.00
2018-01,credit_card,3.22
2018-01,debit_card,1.00
2018-01,boleto,1.00
2018-01,voucher,1.00
2018-02,credit_card,3.12
2018-02,debit_card,1.00
2018-02,voucher,1.00
2018-02,boleto,1.00
2018-03,credit_card,3.41
2018-03,boleto,1.00
2018-03,debit_card,1.00
2018-03,voucher,1.00
2018-04,credit_card,3.23
2018-04,debit_card,1.00
2018-04,boleto,1.00
2018-04,voucher,1.00
2018-05,credit_card,3.36
2018-05,boleto,1.00
2018-05,debit_card,1.00
2018-05,voucher,1.00
2018-06,credit_card,3.41
2018-06,boleto,1.00
2018-06,debit_card,1.00
2018-06,voucher,1.00
2018-07,credit_card,3.34
2018-07,debit_card,1.00
2018-07,boleto,1.00
2018-07,voucher,1.00
2018-08,credit_card,3.33
2018-08,debit_card,1.00
2018-08,not_defined,1.00
2018-08,voucher,1.00
2018-08,boleto,1.00
2018-09,not_defined,1.00
2018-09,voucher,1.00
2018-10,voucher,1.00
