seller_id,seller_state,avg_delivery_days,late_deliveries
4a3ca9315b744ce9f8e9374361493884,SP,14.37,189
1f50f920176fa81dab994f9023523100,SP,15.48,150
4869f7a5dfa277a7dca6462dcf3b52b2,SP,14.94,121
7c67e1448b00f6e969d365cea6b010ab,SP,22.33,120
6560211a19b47992c3666cc44a7e94c0,SP,9.47,102
ea8482cd71df3c1969d7b9473ff13abc,SP,13.22,100
da8622b14eb17ae2831f4ac5b9dab84a,SP,11.11,99
955fee9216a65b617aa5c0531780ce60,SP,10.67,95
1025f0e2d44d7041d6cf58b6550e0bfa,SP,12.00,95
cc419e0650a3c5ba77189a1882b7556a,SP,11.49,88
